data_coleta,produto,categoria,marca,preco,avaliacao,estoque,origem
2026-07-30 15:19:31.863427,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:19:31.863427,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:19:31.863427,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:19:31.863427,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:19:31.863427,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:19:31.863427,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:19:31.863427,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:19:32.698145,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:19:32.698145,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:19:32.698145,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:19:32.698145,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:19:32.698145,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:21:01.900700,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:21:01.900700,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:21:01.900700,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:21:01.900700,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:21:01.900700,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:21:01.900700,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:21:01.900700,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:21:01.900700,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:21:02.408473,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:21:02.408473,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:21:02.408473,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:21:02.408473,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:21:02.408473,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:21:53.084861,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:21:53.084861,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:21:53.084861,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:21:53.084861,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:21:53.084861,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:21:53.084861,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:21:53.084861,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:21:53.084861,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:21:53.710511,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:21:53.710511,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:21:53.710511,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:21:53.710511,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:21:53.710511,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:22:50.281421,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:22:50.281421,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:22:50.281421,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:22:50.281421,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:22:50.281421,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:22:50.281421,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:22:50.281421,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:22:50.281421,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:22:50.800657,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:22:50.800657,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:22:50.800657,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:22:50.800657,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:22:50.800657,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:26:31.214934,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:26:31.214934,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:26:31.214934,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:26:31.214934,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:26:31.214934,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:26:31.214934,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:26:31.214934,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:26:31.214934,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:26:32.154165,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:26:32.154165,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:26:32.154165,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:26:32.154165,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:26:32.154165,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:30:43.657615,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:30:43.657615,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:30:43.657615,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:30:43.657615,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:30:43.657615,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:30:43.657615,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:30:43.657615,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:30:43.657615,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:30:44.308662,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:30:44.308662,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:30:44.308662,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:30:44.308662,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:30:44.308662,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:33:38.204615,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:33:38.204615,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:33:38.204615,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:33:38.204615,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:33:38.204615,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:33:38.204615,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:33:38.204615,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:33:38.204615,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:33:38.727898,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:33:38.727898,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:33:38.727898,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:33:38.727898,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:33:38.727898,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:40:09.935277,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:40:09.935277,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:40:09.935277,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:40:09.935277,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:40:09.935277,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:40:09.935277,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:40:09.935277,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:40:09.935277,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:40:10.464930,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:40:10.464930,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:40:10.464930,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:40:10.464930,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:40:10.464930,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:44:10.979245,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:44:10.979245,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:44:10.979245,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:44:10.979245,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:44:10.979245,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:44:10.979245,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:44:10.979245,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:44:10.979245,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:44:11.483879,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:44:11.483879,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:44:11.483879,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:44:11.483879,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:44:11.483879,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
